,screen_name,num_tweets.Freq
2616,mt_ur_mind,635
2615,JChrisPires,417
2614,tek_keller,340
2613,pwilliamhughes,202
2611,rafmarcondes,175
2612,Tioliah,175
2610,MikeWiser2,170
2609,franceshauser,156
2607,cenewman0,153
2608,NYCuratrix,153
2606,DavidBLowry,152
2605,Napaaqtuk,142
2604,hrlerner,140
2603,omearabrian,138
2602,tweetingmouse,120
2601,GYZhang2,114
2600,razibkhan,108
2598,RixeyMegan,103
2599,wile_phylote,103
2597,KTInvasion,97
2596,johnlogsdon,93
2595,Graham_Coop,92
2594,E_Carlen,87
2593,DoctorZen,84
2592,juncostink,80
2591,sallylepage,76
2590,taxonbytes,75
2589,NatureEcoEvo,73
2588,plantbotsci,72
2587,ASNAmNat,71
2585,Aide_Macias,68
2586,LyndonCoghill,68
2584,ebsessa,66
2583,eswillwalker,62
2582,Choosy_Female,61
2580,JBYoder,60
2581,je_light,60
2579,RD_Denton,56
2578,MikeTassia,55
2575,allopatry,52
2576,emjosephs,52
2577,klcolyott,52
2573,acrlackey,51
2574,joelmcglothlin,51
2572,DanielBolnick,50
2571,quooddy,49
2569,JoeyKHubbard,48
2570,thegoodphyte,48
2568,nhcooper123,47
2567,marypsiboas,46
2563,arburga,44
2564,mattwilkinsbio,44
2565,mwestneat,44
2566,nathofme,44
2561,devindrown,43
2562,Pabster212,43
2556,alisondawnscott,42
2557,DMacGuig,42
2558,Dr_Crushworth,42
2559,HVazquezMiranda,42
2560,lteytelman,42
2555,j0sephwb,41
2552,noelle_and,39
2553,quercus70,39
2554,systbiol,39
2548,EntCollNtwrk,38
2549,frogsicles,38
2550,jembrown,38
2551,WAtlFish,38
2547,arunsethuraman,37
2544,JennyMcGPhD,35
2545,Niharb,35
2546,SabrinaMcnew,35
2543,urbanevol,34
2541,mgwhitfield,33
2542,trayc7,33
2535,AniekIvens,32
2536,brandonscooper,32
2537,dwbapst,32
2538,iochromaland,32
2539,mafnoor,32
2540,Sara_and_Snakes,32
2534,surt_lab,31
2530,Erin_E_Fry,30
2531,Kmwinchell,30
2532,LuisZaman,30
2533,plantevomorph,30
2527,ee__gutierrez,29
2528,lukejharmon,29
2529,SSEgrad,29
2521,aroavaron,28
2522,devonhum,28
2523,kj_gilbert,28
2524,kmmika12,28
2525,louisesmead,28
2526,SciencyTalk,28
2514,cannagenomics,27
2515,Cureton2J,27
2516,David_Hillis,27
2517,JonathanPDrury,27
2518,Lizardeve,27
2519,macmanes,27
2520,PhDcommenter,27
2513,ana_bosslady,26
2506,FlwrEcoEvo,25
2507,k8hert,25
2508,lizatucsf,25
2509,megan_kobiela,25
2510,orlando_schwery,25
2511,Oscarmvargash,25
2512,yanivbrandvain,25
2498,AnoleAnnals,24
2499,CorrieMoreau,24
2500,henrygeenature,24
2501,jakeberv,24
2502,Lagomarsino_L,24
2503,LeannMBiancani,24
2504,MsRachaelP,24
2505,RobertLaport,24
2489,BotanyRules,23
2490,carina_plant,23
2491,dunkryan,23
2492,hsauquet_upsud,23
2493,NickJMatzke,23
2494,popgenchen,23
2495,shoutout2dani,23
2496,thelonglab,23
2497,vietbio,23
2483,8legs2fangs,22
2484,Fink_about_it,22
2485,LVandepasii,22
2486,NewPhyt,22
2487,opsinlab,22
2488,wadedismukes,22
2479,BatLabUCD,21
2480,DiogoProvete,21
2481,ethanblinck,21
2482,KatherineELiu,21
2476,EcographyJourna,20
2477,marcotrizzino,20
2478,svscarpino,20
2467,AGonzalezVoyer,19
2468,boryanakis,19
2469,Cloisthatyou,19
2470,fishspeciation,19
2471,JLosos,19
2472,Kollar_Genetics,19
2473,ldafernando,19
2474,MU_Peter,19
2475,PlantLearner,19
2462,c_n_anderson,18
2463,KZ_Cornell,18
2464,natsvetkova6880,18
2465,snacktavish,18
2466,uribe_convers,18
2451,ambikamath,17
2452,DesmondRamirez1,17
2453,LAevolving,17
2454,molecologist,17
2455,nkfletch00,17
2456,NSF_BIO,17
2457,PREAUX_FISH,17
2458,rvosa,17
2459,SpeciationLab,17
2460,sse_evolution,17
2461,Sternarchella,17
2437,cdanielcadena,16
2438,danlwarren,16
2439,ds_caetano,16
2440,EdwardsDanL,16
2441,Iteration23,16
2442,jeremyvancleve,16
2443,jlwalker97,16
2444,kheyduk,16
2445,MelissaDeBiasse,16
2446,mwilsonsayres,16
2447,noordwhite,16
2448,ombirds,16
2449,SeSimmonds,16
2450,VAstudilloClav,16
2428,CourtneyMurren,15
2429,EcoEvoEvoEco,15
2430,jurnalbiologi,15
2431,KaptainRose,15
2432,mrmckain,15
2433,Myrmecos,15
2434,precentorshakov,15
2435,RTBrumfield,15
2436,thednainus,15
2408,bsuther7,14
2409,chenghlee,14
2410,CoreyWelch_STEM,14
2411,DiversifyEEB,14
2412,EvoPhD,14
2413,granex,14
2414,iowensis,14
2415,LorenCSackett,14
2416,maniermk,14
2417,MEOrive,14
2418,MoSephius,14
2419,noituloveand,14
2420,rattus_mattus,14
2421,rcvaught,14
2422,StephenRBond,14
2423,taylorlawley,14
2424,tomhouslay,14
2425,turtlemcgaugh,14
2426,vanlrivera,14
2427,Vitex_lucens,14
2387,abbyolena,13
2388,alexander_suh,13
2389,AnimalEcology,13
2390,bdkolaczkowski,13
2391,BEACON_Center,13
2392,Ben_Sheldon_EGI,13
2393,chamberea,13
2394,colevol,13
2395,dangates_j,13
2396,danielrmatute,13
2397,diogro,13
2398,EcoEvoBevo,13
2399,Fierst_Lab,13
2400,gadolby,13
2401,JoannaRifkin,13
2402,jsalt92,13
2403,loloyohe,13
2404,LuisDVerde,13
2405,mathyhartfield,13
2406,naubinhorth,13
2407,pabloburraco,13
2368,3rdreviewer,12
2369,amanda_k_gibson,12
2370,chang_jon,12
2371,dr_tialynn,12
2372,ehekkala,12
2373,EliotITMiller,12
2374,Glee4Balistidae,12
2375,hylopsar,12
2376,jebriner,12
2377,Jon_Slate,12
2378,kcranstn,12
2379,liliakgalvez,12
2380,LPozzi81,12
2381,melisabetta,12
2382,RenaMSchweizer,12
2383,TGuillerme,12
2384,Tom_Brekke,12
2385,VinJLynch,12
2386,vsbuffalo,12
2351,akcayerol,11
2352,Catalicu,11
2353,DrillAnnie,11
2354,ericallarson,11
2355,Evodaveo,11
2356,Evol2016,11
2357,HeidiKayDeidi,11
2358,LukasMusher,11
2359,MoisesExpositoA,11
2360,PatrickGoymer,11
2361,PhilJ_Rose,11
2362,plachetzki,11
2363,polarfire,11
2364,rallerskates,11
2365,RELenski,11
2366,ScottVilla,11
2367,ShanaCaro,11
2328,AditiPai1,10
2329,AdrianaBriscoe,10
2330,alexvgeorgiev,10
2331,angelajmcd,10
2332,AnimEcol_UU,10
2333,BenLiebeskind,10
2334,biodids,10
2335,blairperry614,10
2336,BrandonCorder,10
2337,drschield,10
2338,duffy_ma,10
2339,Evo_Explorer,10
2340,guerruhroh,10
2341,hlapp,10
2342,JMWiemerslage,10
2343,kate_rockenbach,10
2344,mathvsoldage,10
2345,MC__Hemmer,10
2346,megrua,10
2347,msparks1309,10
2348,PHHawley,10
2349,samridhichat,10
2350,SerrMegan,10
2300,AkiJarl,9
2301,Alana_Schick,9
2302,alycia_stigall,9
2303,ClaytonBushLab,9
2304,Craig_R_White,9
2305,DrK_Lo,9
2306,emzelliz,9
2307,f_ghiselli,9
2308,HenriquesRo,9
2309,hyphaltip,9
2310,JonPuritz,9
2311,kirstyjean,9
2312,landismj,9
2313,MattL_Holding,9
2314,McAdam_lab,9
2315,mossMatters,9
2316,MossPlants,9
2317,mrvaidya,9
2318,Pselaphinae,9
2319,RGGSatAMNH,9
2320,sarperotto,9
2321,SaveEarthworms,9
2322,schilthuizen,9
2323,sherman1959CG,9
2324,s_m_aguillon,9
2325,sofiaraye,9
2326,StephenBHeard,9
2327,UCSB_OakleyLab,9
2268,AaronListon,8
2269,AbrahamsRS,8
2270,americantejano,8
2271,artscigallery,8
2272,clairemcwhite,8
2273,ClausWilke,8
2274,codythompson51,8
2275,Davey_F_Wright,8
2276,dortizba,8
2277,FascinatingPupa,8
2278,HowardRundle4,8
2279,IanDworkin,8
2280,iEvoBio,8
2281,joryweintraub,8
2282,km_everson,8
2283,Kyle_Mac1,8
2284,LaskyJR,8
2285,_lindsayp,8
2286,lstevison,8
2287,MarksHilly,8
2288,mneiman,8
2289,MSBbirds,8
2290,mtholder,8
2291,ninawaleEEB,8
2292,Nora_C_Mitchell,8
2293,ProteinUniverse,8
2294,raynamharris,8
2295,rcthomson,8
2296,_realmclean,8
2297,reavelyn1,8
2298,rkschott,8
2299,rmp033,8
2226,ajzellmer,7
2227,amiyaal,7
2228,amphibs,7
2229,chicaScientific,7
2230,CrownedKingsley,7
2231,DrewT1023,7
2232,drmsrosenberg,7
2233,encinsworld,7
2234,erikaedw,7
2235,EvolutionSU,7
2236,gordonkathleene,7
2237,guarnitron,7
2238,HannahOish,7
2239,HarmitMalik,7
2240,InkandSword,7
2241,I_Prates,7
2242,jaimedash,7
2243,JBoyle_Paleo,7
2244,JMenaali,7
2245,jwiggi21,7
