"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ProfTerryHughes: New York Times: Finally a good news story - ""Hope for Endangered Reefs"" @CoralCoE #ICRS2016 https://t.co/cAGExOaLYV",FALSE,0,NA,2016-06-24 13:58:13,FALSE,NA,"746341661983178753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GreySandsV",20,TRUE,FALSE,NA,NA
"The Fishing Daily is out! https://t.co/ANrrOA6GVF Stories via @PezzaFina @YvonneOverton @ericudler #icrs2016 #findingdory",FALSE,0,NA,2016-06-24 13:44:17,FALSE,NA,"746338158372085760",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","CaptKenLahr",0,FALSE,FALSE,NA,NA
"RT @emilysdarling: Hogan: Targeting areas with naturally high self-recruitment will be most effective for #lionfish culling efforts #icrs20…",FALSE,0,NA,2016-06-24 13:29:18,FALSE,NA,"746334387889807360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SPBombaci",5,TRUE,FALSE,NA,NA
"RT @dobura: #icrs2016 Mike Beck on the new world in data - ""Scientists need to welcome big and open data, to benefit all"" - and better save…",FALSE,0,NA,2016-06-24 13:18:04,FALSE,NA,"746331557867159554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beatrixparis",4,TRUE,FALSE,NA,NA
"RT @phmontoya: We´ve been told! A living #CoralReef or #Shark is worth more than a dead one! #ICRS2016 https://t.co/v4rCe6yF2d",FALSE,0,NA,2016-06-24 13:15:16,FALSE,NA,"746330853408641025",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","tiger_n_raggie",1,TRUE,FALSE,NA,NA
"RT @CoralReefFish: Comeros-Raynal: large Sparid fishes threatened in South Africa, Med, and SE Asia #ICRS2016 https://t.co/IKAqfBbLzQ",FALSE,0,NA,2016-06-24 13:09:13,FALSE,NA,"746329331866152960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HenriquesRo",0,TRUE,FALSE,NA,NA
"RT @salexander_11: Of interest: Navigating governance networks for community based conservation https://t.co/Y98bjakQkJ #ICRS2016 https://t…",FALSE,0,NA,2016-06-24 13:02:54,FALSE,NA,"746327742019477504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CCRN_news",2,TRUE,FALSE,NA,NA
"RT @NOAAFish_PIRO: In the Pacific Islands, all #coralreefs are essential fish habitat: https://t.co/WufkY45QOb #ICRS2016 #EFH20 https://t.c…",FALSE,0,NA,2016-06-24 12:48:52,FALSE,NA,"746324209719181313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ReefLife911",3,TRUE,FALSE,NA,NA
"We´ve been told! A living #CoralReef or #Shark is worth more than a dead one! #ICRS2016 https://t.co/v4rCe6yF2d",FALSE,0,NA,2016-06-24 12:46:19,FALSE,NA,"746323568397529088",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","phmontoya",1,FALSE,FALSE,NA,NA
"RT @TheCoralReefLab: @TheCoralReefLab's @ElenaBollati on mesophotic #coral GFP photoconversion at #ICRS2016 (https://t.co/4UQRTyUbUN) https…",FALSE,0,NA,2016-06-24 12:44:14,FALSE,NA,"746323043010543616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrAdamReed",2,TRUE,FALSE,NA,NA
